symbol,glyph,name,alt,strokes,note,mnemonic
戈,戈,halberd,spear;weapon pole,4,,"A spear with a hooked blade on one side: a halberd."
厂,厂,overhang,cliff top,2,,"A rock overhang; anything under it is sheltered from the rain."
广,广,canopy,mansion roof,3,,"A canopy with a pole on the left, like a market stall roof."
冂,冂,hood,box top;window,2,,"A hood pulled down over the top of the kanji, open at the bottom."
｜,｜,stick,line;pole,1,,"A single straight stick."
丶,丶,drop,dot,1,,"A single drop of something."
廾,廾,twenty,two hands,3,,"Two hands held up together, ten fingers each: twenty."
艮,艮,stubborn,good;stopping,6,,"A person with their heels dug in, refusing to move: stubborn."
匕,匕,spoon,,2,,"A spoon lying on its side."
个,𠆢,hat,person top;roof peak,2,Top form of 人 (person).,"A pointed hat sitting on top of the kanji."
卩,卩,stamp,seal;kneeling,2,,"A rubber stamp seen from the side."
頁,頁,page,head;geek,9,,"A page of a book with a big heading at the top."
買,罒,net,eye top,5,Top form of 网 (net).,"A fishing net stretched flat, seen from above."
彳,彳,stroll,step;loiter,3,,"Two small steps and a stride: someone strolling along."
杰,灬,flames,fire bottom,4,Bottom form of 火 (fire).,"Four little flames licking up from underneath."
冫,冫,icicles,ice;two drops,2,,"Two icicles hanging from the left side."
疔,疒,sickbed,sickness,5,Enclosure for illness (yamaidare).,"A bed with a canopy, seen from the side, with a patient lying in it."
凵,凵,pit,open box,2,,"A pit dug into the ground, open at the top."
酉,酉,wine jar,sake jar,7,,"A jar with a wide lid and something sloshing inside: a wine jar."
卜,卜,divining rod,toe,2,,"A forked stick used for finding water: a divining rod."
殳,殳,weapon,pike,4,,"A hand gripping a long weapon."
ハ,ハ,fins,eight,2,,"Two fins, one on each side."
犯,犭,hound,animal side,3,Left-side form of 犬 (dog).,"A dog drawn in three strokes, standing on its hind legs on the left: a hound."
几,几,table,desk;wind,2,,"A small table with two legs."
已,已,cobra,already,3,,"A cobra rearing up with its hood open."
礼,礻,altar,spirit side,4,Left-side form of 示 (show).,"A small altar on the left, with offerings placed on top."
豕,豕,pig,boar,7,,"A pig with its snout down, rooting in the dirt."
幺,幺,tiny,short thread,3,,"A tiny twist of thread."
彡,彡,whiskers,hair;fur,3,,"Three whiskers, always sticking out to the right."
囗,囗,fence,enclosure,3,Enclosure (not the same as 口 mouth: it is bigger and wraps around).,"A fence built all the way round whatever is inside."
廴,廴,long stride,stretch,3,,"A long, stretched-out stride."
初,衤,cloak,clothes side,5,Left-side form of 衣 (clothing).,"A cloak thrown over the left shoulder."
虍,虍,tiger stripes,tiger top,6,,"The stripes and gaping mouth of a tiger, seen from the front."
亠,亠,lid,,2,,"A lid with a knob on top."
聿,聿,brush,writing hand,6,,"A hand holding a writing brush upright."
勿,勿,streamers,do not,4,,"Streamers fluttering from a pole."
禹,禸,paw print,animal track,4,,"A paw print pressed into the mud."
匚,匚,crate,box side,2,,"An open crate lying on its side."
疋,疋,bolt,bolt of cloth,5,,"A bolt of cloth standing on end."
并,丷,horns,,2,,"Two horns sticking up."
爿,爿,plank,split wood;bed,4,,"A plank of wood standing on its end."
マ,マ,muzzle,,2,,"A dog muzzle, the strap and the cage."
亅,亅,hook,barb,1,,"A single hook."
隶,隶,servant,slave,8,,"A servant bent over, scrubbing the floor."
辰,辰,clam,dragon sign,7,,"A clam with its shell half open."
弋,弋,peg,stake,3,,"A peg driven into the ground with a rope tied round it."
歹,歹,bones,death;bad,4,,"A pile of bones."
韋,韋,tanned hide,leather;guard,9,,"An animal hide stretched out on a frame to be tanned."
ユ,ユ,handle,,2,,"A bent handle, the kind on a bucket."
癶,癶,tent,,5,,"A tent with its flaps open."
老,耂,elder,old top,4,Top form of 老 (old).,"An elder leaning on a stick."
也,也,scorpion,also,3,,"A scorpion with its tail curled up."
舛,舛,dancing legs,dance,6,,"Two legs kicking in opposite directions: dancing legs."
耒,耒,plow,,6,,"A wooden plow with its blade at the bottom."
乞,𠂉,hairpin,hook and line,2,,"A hairpin with a bent tip."
滴,啇,podium,base,11,,"A podium with a speaker standing on it."
巛,巛,stream,,3,,"Three curving lines of running water: a stream."
豸,豸,badger,,7,,"A badger crouching low."
而,而,rake,beard,6,,"A rake with its teeth pointing down."
屮,屮,sprout,,3,,"A single sprout with two leaves."
尤,尤,wobble,,4,,"A figure with one leg bent, wobbling."
鬲,鬲,cauldron,tripod,10,,"A cauldron standing on three legs."
釆,釆,sift,pick,7,,"Grains falling through a sieve: sifting."
尢,尢,limp,lame,3,,"A person with one crooked leg, walking with a limp."
巴,巴,swirl,comma,4,,"A swirl of water going down a drain."
彑,彑,snout,,3,,"A pig's snout seen from the front."
瓜,瓜,melon,,6,,"A melon hanging from its vine."
气,气,vapor,steam,4,,"Vapor curling up from a hot spring."
乃,乃,scythe,from,2,,"A scythe with a curved blade."
鬯,鬯,brew,sacrificial wine,10,,"A jar of brewing herbs."
爻,爻,criss-cross,double x,4,,"Two crosses stacked: criss-cross lines."
奄,奄,smother,,8,,"A big blanket (大) thrown over the electricity (電 without rain) to smother it."
髟,髟,mane,long hair,10,,"Long hair flowing out: a mane."
