kanji,keyword,alt
窓,window,
崖,cliff,
旗,banner,flag
蒸,steam,
僕,me,I;servant
卓,eminent,table;desk
机,desk,
角,angle,corner;horn
舗,pave,shop
秀,excel,
慮,prudence,consider
玉,jewel,ball
寺,temple,Buddhist temple
矛,spear,halberd;arms
里,hometown,village;ri;league
郷,home village,hometown;native place
又,also,or again;furthermore
且,moreover,also;furthermore
矢,arrow,dart
